,country,Year,shdi,healthindex,esch,msch,pop,lifexp,edindex,sgdi,TOTAL_IMPORT,GDP,gnic,FDI,area,YEARLY_IMFROM_CHINA,landlocked
56,Algeria,2000,0.637,0.778,10.9,5.9,31042.235,70.6,0.499,.779,1608404330.0,1761.048998,8110.0,280100000.0,2381741.0,16899480.0,0.0
94,Angola,2000,0.4,0.408,5.1,4.4,16395.473,46.5,0.288, ,553336225.5,744.5564134,3674.0,878620000.0,1246700.0,2952818.5,0.0
416,Benin,2000,0.416,0.545,6.7,2.6,6865.951,55.4,0.273,.753,205758053.5,374.1938396,2470.0,-12794843.61,112622.0,3640299.8,0.0
626,Burkina Faso,2000,0.292,0.469,3.5,1.2,11607.942,50.5,0.137, ,165448663.5,255.0837784,1293.0,23107520.48,274200.0,320674.6,1.0
645,Burundi,2000,0.299,0.448,4.5,1.8,6378.871,49.1,0.185,.833,113695208.453125,111.1659472,841.0,11683246.08,27834.0,1049982.0,1.0
664,Cape Verde,2000,0.569,0.748,11.5,3.5,428.188,68.6,0.436,.934,285346254.5,1432.18499,4183.0,34202238.38,4033.0,2798481.0,0.0
702,Cameroon,2000,0.44,0.477,7.3,4.8,15513.945,51.0,0.363,.861,485595797.0,647.5918191,2589.0,159708006.2,475442.0,7775946.0,0.0
778,Central African Republic,2000,0.325,0.372,5.3,2.9,3640.427,44.2,0.244,.745,131963175.3125,262.8351275,1235.0,889074.9126,622984.0,540702.06,1.0
797,Chad,2000,0.295,0.426,4.9,1.4,8355.654,47.7,0.183, ,220607233.875,188.5867899,882.0,115172421.5,1284005.0,72266.03,1.0
911,Comoros,2000,0.466,0.608,8.5,2.8,542.357,59.5,0.329,.84,146236048.5,777.9791379,2835.0,93636.1151,1862.0,3130087.5,0.0
930,Congo,2000,0.46,0.494,9.7,5.5,3127.411,52.1,0.453,.881,354198476.0,1074.037924,1801.0,-97897925.12,342000.0,4052675.5,0.0
986,Côte d'Ivoire,2000,0.422,0.455,6.8,3.3,16454.668,49.6,0.299,.766,591865940.0,649.1492694,3870.0,234701731.5,322463.0,2338398.5,0.0
1110,Congo (Democratic Republic of the),2000,0.349,0.462,7.0,3.3,47105.826,50.0,0.304, ,356603524.625,177.0960719,740.0,94190400.0,2345410.0,957407.94,0.0
1148,Djibouti,2000,0.359,0.569,2.9,3.2,717.584,57.0,0.187, ,106892576.1875,761.4016641,1770.0,3286049.482,23200.0,3725955.5,0.0
1224,Egypt,2000,0.613,0.748,11.1,4.8,68831.561,68.6,0.468,.808,2505610126.0,1390.112951,7781.0,1235000000.0,1001449.0,20703178.0,0.0
1262,Equatorial Guinea,2000,0.525,0.512,8.0,5.4,606.181,53.3,0.402, ,86240694.0,2492.356602,10380.0,154499589.9,28051.0,4158530.0,0.0
1319,Ethiopia,2000,0.292,0.491,4.3,1.5,66224.804,51.9,0.169,.747,402680223.0,121.2567212,726.0,134640000.0,1127127.0,6197653.0,1.0
1414,Gabon,2000,0.622,0.589,12.3,6.2,1228.36,58.3,0.548,.919,453451806.0,4621.433043,13982.0,278061232.0,267667.0,1059288.0,0.0
1433,Gambia,2000,0.404,0.554,6.8,2.0,1317.703,56.0,0.256,.806,202693324.25,987.4348308,2191.0,43520000.0,11295.0,1066906.9,0.0
1509,Ghana,2000,0.494,0.569,8.0,6.1,19278.856,57.0,0.426,.853,641218175.5,548.2580474,2682.0,165900000.0,238538.0,6915902.0,0.0
1604,Guinea,2000,0.34,0.48,5.1,1.5,8240.73,51.2,0.192,.741,280626889.0,518.0898099,1685.0,9942000.0,245857.0,3533401.0,0.0
1965,Kenya,2000,0.461,0.475,8.3,5.3,31964.557,50.9,0.407,.896,829751166.0,452.5257622,2839.0,110904550.4,582646.0,8375489.5,0.0
2098,Liberia,2000,0.435,0.488,10.5,3.5,2848.456,51.7,0.408,.775,254339849.6875,226.4189017,1533.0,20800000.0,111369.0,475799.4,0.0
