,country,Year,shdi,healthindex,esch,msch,pop,lifexp,edindex,sgdi,TOTAL_IMPORT,GDP,gnic,FDI,area,YEARLY_IMFROM_CHINA,landlocked
46,Algeria,2010,0.72,0.845,14.0,7.1,35977.455,74.9,0.626,.83,3763180412.0,4480.786786,10824.0,2300369124.0,2381741.0,60809770.0,0.0
84,Angola,2010,0.517,0.545,8.6,4.7,23356.246,55.4,0.396, ,3061218452.0,3587.883041,6913.0,-3227211182.0,1246700.0,34448970.0,0.0
396,Benin,2010,0.493,0.605,11.0,2.8,9199.259,59.3,0.399,.828,659113499.0,757.6974108,2690.0,53507087.74,112622.0,18664700.0,0.0
616,Burkina Faso,2010,0.384,0.571,6.7,1.4,15605.217,57.1,0.233,.835,923958612.0,647.2044335,1679.0,38870701.36,274200.0,19382686.0,1.0
635,Burundi,2010,0.412,0.572,10.5,2.6,8675.602,57.2,0.378,.912,302112906.5,234.2359215,842.0,780582.0036,27834.0,15064115.0,1.0
654,Cape Verde,2010,0.632,0.786,12.6,5.1,492.654,71.1,0.52,.961,416208565.0,3378.25458,5928.0,116200563.6,4033.0,5200435.5,0.0
692,Cameroon,2010,0.504,0.54,10.2,5.3,20341.241,55.1,0.46,.856,1121924704.0,1285.26167,3056.0,536265313.2,475442.0,28177268.0,0.0
768,Central African Republic,2010,0.366,0.42,6.8,3.6,4386.768,47.3,0.309,.761,328122654.0,487.9451917,1218.0,61520000.0,622984.0,12812268.0,1.0
787,Chad,2010,0.369,0.475,6.7,1.9,11952.136,50.9,0.249,.76,513597048.5,917.8801245,1669.0,313000000.0,1284005.0,73453140.0,1.0
901,Comoros,2010,0.522,0.645,10.6,4.2,689.692,61.9,0.434,.875,230270184.0,1315.216002,2875.0,8350406.722,1862.0,13123580.0,0.0
920,Congo,2010,0.52,0.617,10.7,6.1,4273.731,60.1,0.501,.913,1277176506.0,3200.484988,2046.0,1520744891.0,342000.0,22840628.0,0.0
966,Côte d'Ivoire,2010,0.468,0.508,8.5,4.2,20532.95,53.0,0.376,.759,2758548800.0,1279.115906,3527.0,358468317.3,322463.0,30129970.0,0.0
1100,Congo (Democratic Republic of the),2010,0.435,0.568,9.2,5.9,64563.854,56.9,0.452,.819,908616428.0,334.0219824,830.0,2742300000.0,2345410.0,41579470.0,0.0
1138,Djibouti,2010,0.455,0.617,5.9,4.0,840.198,60.1,0.297, ,572348917.0,1480.188842,2977.0,36501032.52,23200.0,15524048.0,0.0
1214,Egypt,2010,0.667,0.774,12.0,6.5,82761.235,70.3,0.55,.841,7455115928.0,2593.368405,10136.0,6385600000.0,1001449.0,89036180.0,0.0
1252,Equatorial Guinea,2010,0.577,0.548,9.2,5.5,943.639,55.6,0.439, ,660143701.0,17272.0026,19742.0,2734000000.0,28051.0,33896012.0,0.0
1271,Eritrea,2010,0.437,0.649,5.4,3.9,3170.435,62.2,0.28, ,179749360.75,501.3556333,2084.0,91000000.0,121320.0,5910497.0,0.0
1309,Ethiopia,2010,0.421,0.64,8.2,2.3,87639.964,61.6,0.304,.822,1626443608.0,300.2203105,1257.0,288271568.3,1127127.0,47492344.0,1.0
1404,Gabon,2010,0.652,0.637,12.5,7.6,1624.14,61.4,0.601,.916,1257686978.0,8840.759423,12105.0,523939106.2,267667.0,19685820.0,0.0
1423,Gambia,2010,0.459,0.609,8.7,2.8,1793.196,59.6,0.335,.82,344716175.375,860.6392972,2307.0,37140887.81,11295.0,6729645.0,0.0
1499,Ghana,2010,0.565,0.631,10.9,6.7,24779.619,61.0,0.526,.884,2375032044.0,1718.647038,3676.0,2527350000.0,238538.0,40050010.0,0.0
1594,Guinea,2010,0.416,0.568,8.4,1.6,10192.176,56.9,0.287,.818,502385729.5,672.4244016,1852.0,101350000.0,245857.0,10208572.0,0.0
1613,Guinea-Bissau,2010,0.436,0.532,9.9,2.6,1522.599,54.6,0.362, ,165716069.375,557.6321083,1739.0,26240200.0,36125.0,5277028.0,0.0
1955,Kenya,2010,0.551,0.631,10.7,6.1,42030.676,61.0,0.501,.924,3399452140.0,951.6781896,3317.0,178064198.6,582646.0,70024830.0,0.0
2088,Liberia,2010,0.455,0.609,9.5,4.1,3891.356,59.6,0.401,.858,1247786432.75,332.0179392,1293.0,2064680994.0,111369.0,8876466.0,0.0
2107,Libyan Arab Jamahiriya,2010,0.797,0.8,14.0,7.3,6197.663,72.0,0.632,1.009,3330025838.0,13060.15181,96021.0,1784000000.0,1759540.0,22560446.0,0.0
2145,Madagascar,2010,0.511,0.668,10.2,6.0,21151.64,63.4,0.483,.944,1173657048.0,471.9592116,1532.0,912287179.8,587041.0,36218384.0,0.0
2164,Malawi,2010,0.431,0.548,10.3,4.3,14539.612,55.6,0.429,.916,616021051.0,478.6687301,959.0,97010558.69,118484.0,34690864.0,1.0
2221,Mali,2010,0.409,0.543,7.6,2.0,15049.353,55.3,0.278,.817,1500808374.0,709.5819337,2000.0,371569832.6,1240142.0,66016984.0,1.0
2278,Mauritania,2010,0.505,0.654,7.6,3.8,3494.195,62.5,0.338,.838,546543832.0,1610.922935,4702.0,130528391.3,1030700.0,21609004.0,0.0
2297,Mauritius,2010,0.751,0.823,14.1,8.2,1250.4,73.5,0.665,.943,4075627716.0,8016.050811,16927.0,429941788.7,2045.0,96531360.0,0.0
2386,Morocco,2010,0.616,0.837,11.1,4.2,32343.389,74.4,0.448,.822,8226926412.0,2882.110528,6199.0,1240625859.0,710850.0,225028560.0,0.0
2405,Mozambique,2010,0.401,0.497,9.6,3.2,23531.574,52.3,0.373,.889,723558911.0,471.9042196,998.0,1258453097.0,801590.0,23052384.0,0.0
2557,Niger,2010,0.33,0.574,4.7,1.4,16464.025,57.3,0.177,.698,633653661.0,462.8464855,1028.0,796636157.9,1267000.0,52501776.0,1.0
2584,Nigeria,2010,0.482,0.475,8.4,5.2,158503.197,50.9,0.407,.873,3580121104.0,2292.444775,4636.0,6026253091.0,923768.0,42098504.0,0.0
2937,Rwanda,2010,0.491,0.668,11.1,3.8,10039.338,63.4,0.435,.953,962706886.0,609.9843798,1497.0,216192556.8,26338.0,24456134.0,1.0
3051,Sao Tome and Principe,2010,0.561,0.729,10.6,4.9,180.371,67.4,0.458,.879,139259899.5,1094.710487,3338.0,50600000.0,964.0,729950.8,0.0
3089,Senegal,2010,0.468,0.682,8.0,2.4,12678.148,64.3,0.302,.854,1618269392.0,1319.168533,2721.0,272092888.5,196722.0,34263940.0,0.0
3141,Sierra Leone,2010,0.399,0.452,8.9,3.1,6415.634,49.4,0.351,.854,319707662.0,401.8349987,1432.0,238404209.3,73326.0,10986425.0,0.0
3244,Somalia,2010,0.343,0.488,3.78,3.89,12043.883,51.7,0.235, ,91641384.40625,90.73356305,1036.0,112000000.0,637657.0,5610376.0,0.0
3263,South Africa,2010,0.664,0.58,12.8,10.2,51216.964,57.7,0.696,.975,19981352672.0,7328.593646,12195.0,3693271715.0,1219912.0,466833200.0,0.0
3346,Sudan,2010,0.469,0.658,7.3,3.1,34545.013,62.8,0.306,.821,1303827286.0,1584.449469,2985.0,2063730998.0,1886000.0,49923904.0,0.0
3490,Togo,2010,0.465,0.577,11.5,4.3,6421.679,57.5,0.463,.789,627670605.5,533.5087687,1216.0,125064101.8,56785.0,13188176.0,0.0
3547,Tunisia,2010,0.716,0.846,14.5,6.7,10635.244,75.0,0.626,.889,4069078788.0,4141.976353,9750.0,1334497695.0,164150.0,68347440.0,0.0
3661,Uganda,2010,0.499,0.571,11.0,5.7,32428.167,57.1,0.496,.862,1084551064.0,606.9766601,1837.0,543872727.3,241038.0,39817760.0,1.0
3745,"Tanzania, United Rep. of ",2010,0.48,0.594,8.8,5.1,44346.525,58.6,0.414,.923,1437461848.0,732.1889233,1972.0,1813200000.0,945090.0,33013744.0,0.0
3908,Zambia,2010,0.527,0.549,11.0,6.6,13605.984,55.7,0.526,.916,1203512830.0,1489.447621,2872.0,1729300000.0,752614.0,51935336.0,1.0
3927,Zimbabwe,2010,0.482,0.471,10.1,7.3,12697.723,50.6,0.524,.93,3594015174.0,948.3318526,2016.0,122586666.7,390759.0,41277016.0,1.0
